"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2024,19,1004287.67,717,1.05e+09
"PADRON",2024,18,1004287.67,718,1.05e+09
"PADRON",2024,18,1004287.67,719,1.05e+09
"PADRON",2024,18,1004287.67,720,1.05e+09
"PADRON",2024,18,1004287.67,721,1.05e+09
"PADRON",2024,18,1004287.67,722,1.05e+09
"PADRON",2024,18,1004287.67,723,1.05e+09
"PADRON",2024,18,1004287.67,724,1.05e+09
"PADRON",2024,18,1004287.67,725,1.05e+09
"PADRON",2024,18,1004287.67,726,1.05e+09
"PADRON",2024,18,1004287.67,727,1.05e+09
"PADRON",2024,18,1004287.67,728,1.05e+09
"PADRON",2024,18,1004287.67,729,1.05e+09
"PADRON",2024,18,1004287.67,730,1.05e+09
"PADRON",2024,18,1004287.67,731,1.05e+09
"PADRON",2024,18,1004287.67,732,1.05e+09
"PADRON",2024,18,1004287.67,733,1.05e+09
"PADRON",2024,18,1004287.67,734,1.05e+09
"PADRON",2024,18,1004287.67,735,1.05e+09
"PADRON",2024,17,1004287.67,736,1.05e+09
"PADRON",2024,17,1004287.67,737,1.05e+09
"PADRON",2024,17,1004287.67,738,1.05e+09
"PADRON",2024,17,1004287.67,739,1.05e+09
"PADRON",2024,17,1004287.67,740,1.05e+09
"PADRON",2024,17,1004287.67,741,1.05e+09
"PADRON",2024,17,1004287.67,742,1.05e+09
"PADRON",2024,17,1004287.67,743,1.05e+09
"PADRON",2024,17,1004287.67,744,1.05e+09
"PADRON",2024,17,1004287.67,745,1.05e+09
"PADRON",2024,17,1004287.67,746,1.05e+09
"PADRON",2024,17,1004287.67,747,1.05e+09
"PADRON",2024,17,1004287.67,748,1.05e+09
"PADRON",2024,17,1004287.67,749,1.05e+09
"PADRON",2024,17,1004287.67,750,1.05e+09
"PADRON",2024,17,1004287.67,751,1.05e+09
"PADRON",2024,17,1004287.67,752,1.05e+09
"PADRON",2024,17,1004287.67,753,1.05e+09
"PADRON",2024,17,1004287.67,754,1.05e+09
"PADRON",2024,17,1004287.67,755,1.05e+09
"PADRON",2024,17,1004287.67,756,1.05e+09
"PADRON",2024,17,1004287.67,757,1.05e+09
"PADRON",2024,17,1004287.67,758,1.05e+09
"PADRON",2024,17,1004287.67,759,1.05e+09
"PADRON",2024,17,1004287.67,760,1.05e+09
"PADRON",2024,17,1004287.67,761,1.05e+09
"PADRON",2024,17,1004287.67,762,1.05e+09
"PADRON",2024,17,1004287.67,763,1.05e+09
"PADRON",2024,17,1004287.67,764,1.05e+09
"PADRON",2024,17,1004287.67,765,1.05e+09
"PADRON",2024,17,1004287.67,766,1.05e+09
"PADRON",2024,17,1004287.67,767,1.05e+09
"PADRON",2024,17,1004287.67,768,1.05e+09
"PADRON",2024,17,1004287.67,769,1.05e+09
"PADRON",2024,17,1004287.67,770,1.05e+09
"PADRON",2024,17,1004287.67,771,1.05e+09
"PADRON",2024,17,1004287.67,772,1.05e+09
"PADRON",2024,17,1004287.67,773,1.05e+09
"PADRON",2024,17,1004287.67,774,1.05e+09
"PADRON",2024,17,1004287.67,775,1.05e+09
"PADRON",2024,17,1004287.67,776,1.05e+09
"PADRON",2024,17,1004287.67,777,1.05e+09
"PADRON",2024,17,1004287.67,778,1.05e+09
"PADRON",2024,17,1004287.67,779,1.05e+09
"PADRON",2024,17,1004287.67,780,1.05e+09
"PADRON",2024,17,1004287.67,781,1.05e+09
"PADRON",2024,17,1004287.67,782,1.05e+09
"PADRON",2024,17,1004287.67,783,1.05e+09
"PADRON",2024,17,1004287.67,784,1.05e+09
"PADRON",2024,17,1004287.67,785,1.05e+09
"PADRON",2024,17,1004287.67,786,1.05e+09
"PADRON",2024,17,1004287.67,787,1.05e+09
"PADRON",2024,17,1004287.67,788,1.05e+09
"PADRON",2024,17,1004287.67,789,1.05e+09
"PADRON",2024,17,1004287.67,790,1.05e+09
"PADRON",2024,17,1004287.67,791,1.05e+09
"PADRON",2024,17,1004287.67,792,1.05e+09
"PADRON",2024,17,1004287.67,793,1.05e+09
"PADRON",2024,17,1004287.67,794,1.05e+09
"PADRON",2024,17,1004287.67,795,1.05e+09
"PADRON",2024,17,1004287.67,796,1.05e+09
"PADRON",2024,17,1004287.67,797,1.05e+09
"PADRON",2024,17,1004287.67,798,1.05e+09
"PADRON",2024,17,1004287.67,799,1.05e+09
"PADRON",2024,17,1004287.67,800,1.05e+09
"PADRON",2024,17,1004287.67,801,1.05e+09
"PADRON",2024,17,1004287.67,802,1.05e+09
"PADRON",2024,17,1004287.67,803,1.05e+09
"PADRON",2024,17,1004287.67,804,1.05e+09
"PADRON",2024,17,1004287.67,805,1.05e+09
"PADRON",2024,17,1004287.67,806,1.05e+09
"PADRON",2024,17,1004287.67,807,1.05e+09
